name,address_city,address_street_name,address_street_number,address_postal_code,country_of_domicile,birth_date,nationality,passport_number,passport_issue_date,passport_expiry_date,gender,phone_number,email_address,marital_status,secondary_school,higher_education,employment_history,aum,inheritance_details,real_estate_details,investment_risk_profile,investment_horizon,investment_experience,type_of_mandate,preferred_markets,currency,address,client_id
Franziska Imke Weber,Frankfurt am Main,Zeil,57,73993,Germany,1982-12-24,German,OD9165284,2017-03-08,2027-03-07,F,+49 9221 736573,franziska.weber@hotmail.com,married,"{'name': 'Fichte-Gymnasium Halle', 'graduation_year': 2001}","[{'university': 'ISM Dortmund', 'graduation_year': 2006}]","[{'start_year': 2006, 'end_year': 2010, 'company': 'Freshfields Bruckhaus Deringer LLP', 'position': 'Associate Attorney', 'salary': 41000}, {'start_year': 2011, 'end_year': 2013, 'company': 'Linklaters LLP', 'position': 'Senior Associate', 'salary': 68000}, {'start_year': 2015, 'end_year': None, 'company': 'Linklaters LLP', 'position': 'Partner', 'salary': 136000}]","{'savings': 190000, 'inheritance': 3170000, 'real_estate_value': 1577000}","{'relationship': 'father', 'inheritance year': 2011, 'profession': 'Stock Trader'}","[{'property type': 'flat', 'property value': 767000, 'property location': 'Frankfurt am Main'}, {'property type': 'flat', 'property value': 810000, 'property location': 'Wuppertal'}]",Moderate,Medium,Experienced,Advisory,['Germany'],EUR,"{'city': 'Frankfurt am Main', 'street name': 'Zeil', 'street number': 57, 'postal code': '73993'}",8454
Daniela Rodríguez,Barcelona,Plaza de la Sal,16,41995,Spain,1981-02-10,Spanish,QW1099735,2017-05-13,2027-05-12,F,+34 630 064 761,daniela.rodriguez@ono.es,married,"{'name': 'Instituto de Educación Secundaria IES Pablo Neruda Las Palmas de Gran Canaria', 'graduation_year': 2000}","[{'university': 'Madrid School of Fine Arts', 'graduation_year': 2003}, {'university': 'Complutense University of Madrid', 'graduation_year': 2008}]","[{'start_year': 2004, 'end_year': 2009, 'company': 'Thyssen-Bornemisza National Museum', 'position': 'Art Dealer', 'salary': 35000}, {'start_year': 2009, 'end_year': 2023, 'company': 'Museo del Prado', 'position': 'Gallery Owner', 'salary': 84000}]","{'savings': 140000, 'inheritance': 3020000, 'real_estate_value': 3947000}","{'relationship': 'grandfather', 'inheritance year': 2013, 'profession': 'Investment Banker'}","[{'property type': 'condo', 'property value': 687000, 'property location': 'Barcelona'}, {'property type': 'villa', 'property value': 2070000, 'property location': 'Cartagena'}, {'property type': 'townhouse', 'property value': 1190000, 'property location': 'Almería'}]",Low,Long-Term,Experienced,Discretionary,"['France', 'Spain']",EUR,"{'city': 'Barcelona', 'street name': 'Plaza de la Sal', 'street number': 16, 'postal code': '41995'}",2952
Brandstetter Huber Schmidt,Saalfelden,Theater an der Wien,47,9149,Austria,1983-12-23,Austrian,HD0378366,2023-06-02,2033-06-01,M,812 382 4035,brandstetter.schmidt@gmail.com,single,"{'name': 'Gymnasium Bregenz', 'graduation_year': 2001}","[{'university': 'Danube Private University Krems', 'graduation_year': 2007}]","[{'start_year': 2008, 'end_year': 2011, 'company': 'Gunvor Group', 'position': 'Junior Trader', 'salary': 30000}, {'start_year': 2011, 'end_year': None, 'company': 'OMV AG', 'position': 'Senior Trader', 'salary': 132000}]","{'savings': 210000, 'inheritance': 0, 'real_estate_value': 760000}",{},"[{'property type': 'flat', 'property value': 760000, 'property location': 'Saalfelden'}]",Moderate,Long-Term,Expert,Advisory,['Austria'],EUR,"{'city': 'Saalfelden', 'street name': 'Theater an der Wien', 'street number': 47, 'postal code': '9149'}",3880
Manon Fatima Peiren,Roeselare,Rue des Sœurs Noires,99,7285,Belgium,1975-09-21,Belgian,MQ4645542,2021-04-01,2028-03-31,F,+32 0460 920 789,manon.peiren@base.be,divorced,"{'name': 'Koninklijk Atheneum Boom', 'graduation_year': 1993}","[{'university': 'University of Namur', 'graduation_year': 1998}]","[{'start_year': 2000, 'end_year': 2003, 'company': 'Wallenius Wilhelmsen Logistics Belgium NV', 'position': 'Ship Broker', 'salary': 41000}, {'start_year': 2003, 'end_year': 2008, 'company': 'Wallenius Wilhelmsen Logistics Belgium NV', 'position': 'Shipping Company Owner', 'salary': 57000}, {'start_year': 2009, 'end_year': 2014, 'company': 'NYK Line (Belgium) NV', 'position': 'Fleet Manager', 'salary': 123000}, {'start_year': 2014, 'end_year': None, 'company': 'Exmar NV', 'position': 'Maritime Industry Leader', 'salary': 480000}]","{'savings': 740000, 'inheritance': 470000, 'real_estate_value': 950000}","{'relationship': 'father', 'inheritance year': 2010, 'profession': 'Real Estate Developer'}","[{'property type': 'townhouse', 'property value': 950000, 'property location': 'Roeselare'}]",Moderate,Short,Expert,Advisory,['Belgium'],EUR,"{'city': 'Roeselare', 'street name': 'Rue des Sœurs Noires', 'street number': 99, 'postal code': '7285'}",436
Schmid Huber Rieder,Bregenz,Schönlaterngasse,23,9576,Austria,1956-12-23,Austrian,EH1674775,2022-06-13,2032-06-12,M,+43 490 599 7667,schmid.rieder@vol.at,divorced,"{'name': 'Privatgymnasium der Dominikanerinnen', 'graduation_year': 1975}","[{'university': 'University of Salzburg', 'graduation_year': 1981}]","[{'start_year': 1980, 'end_year': 1983, 'company': 'Leopold Museum', 'position': 'Art Dealer', 'salary': 33000}, {'start_year': 1983, 'end_year': 1988, 'company': 'MUMOK', 'position': 'Gallery Owner', 'salary': 49000}, {'start_year': 1990, 'end_year': 1991, 'company': 'Belvedere Museum', 'position': 'Art Advisor', 'salary': 73000}, {'start_year': 1993, 'end_year': 1998, 'company': 'MUMOK', 'position': 'Curator', 'salary': 188000}, {'start_year': 1999, 'end_year': 2017, 'company': 'Leopold Museum', 'position': 'Museum Director', 'salary': 689000}]","{'savings': 1170000, 'inheritance': 0, 'real_estate_value': 2100000}",{},"[{'property type': 'house', 'property value': 1260000, 'property location': 'Bregenz'}, {'property type': 'flat', 'property value': 840000, 'property location': 'Rosenheim'}]",Low,Medium,Experienced,Advisory,['Austria'],EUR,"{'city': 'Bregenz', 'street name': 'Schönlaterngasse', 'street number': 23, 'postal code': '9576'}",4299
Anna Emma Krüger,Leipzig,Sendlinger-Tor-Platz,46,92994,Germany,1972-07-28,German,YD9881503,2023-04-04,2033-04-03,F,+49 6981 672237,anna.kruger@yahoo.com,widowed,"{'name': 'Max-Planck-Gymnasium München', 'graduation_year': 1992}","[{'university': 'ISM Dortmund', 'graduation_year': 1995}]","[{'start_year': 1997, 'end_year': 2002, 'company': 'Axel Springer SE', 'position': 'Journalist', 'salary': 43000}, {'start_year': 2002, 'end_year': 2004, 'company': 'RTL Group', 'position': 'Editor', 'salary': 65000}, {'start_year': 2006, 'end_year': 2009, 'company': 'Bertelsmann SE & Co. KGaA', 'position': 'Publisher', 'salary': 81000}, {'start_year': 2011, 'end_year': 2014, 'company': 'RTL Group', 'position': 'TV/Radio Host', 'salary': 113000}, {'start_year': 2015, 'end_year': None, 'company': 'Axel Springer SE', 'position': 'Media Conglomerate Owner', 'salary': 465000}]","{'savings': 690000, 'inheritance': 1860000, 'real_estate_value': 3160000}","{'relationship': 'mother', 'inheritance year': 2015, 'profession': 'Tech Entrepreneur'}","[{'property type': 'condo', 'property value': 1160000, 'property location': 'Leipzig'}, {'property type': 'flat', 'property value': 840000, 'property location': 'Erlangen'}, {'property type': 'condo', 'property value': 1160000, 'property location': 'Bonn'}]",Low,Medium,Experienced,Advisory,"['Germany', 'Denmark']",EUR,"{'city': 'Leipzig', 'street name': 'Sendlinger-Tor-Platz', 'street number': 46, 'postal code': '92994'}",5179
Schnell Müller Haider,Ried im Innkreis,Kärntner Straße,6,5857,Austria,1961-01-03,Austrian,NR8075957,2020-06-19,2030-06-18,M,+43 079 560 1628,schnell.haider@upc.at,married,"{'name': 'BORG Deutschlandsberg', 'graduation_year': 1980}","[{'university': 'Johannes Kepler University Linz', 'graduation_year': 1985}]","[{'start_year': 1985, 'end_year': 1988, 'company': 'Erste Private Banking', 'position': 'Financial Advisor', 'salary': 29000}, {'start_year': 1989, 'end_year': 1991, 'company': 'Erste Private Banking', 'position': 'Portfolio Manager', 'salary': 44000}, {'start_year': 1993, 'end_year': 2021, 'company': 'Raiffeisen Private Banking', 'position': 'Wealth Manager', 'salary': 464000}]","{'savings': 910000, 'inheritance': 0, 'real_estate_value': 940000}",{},"[{'property type': 'flat', 'property value': 940000, 'property location': 'Ried im Innkreis'}]",Considerable,Medium,Experienced,Discretionary,['Austria'],EUR,"{'city': 'Ried im Innkreis', 'street name': 'Kärntner Straße', 'street number': 6, 'postal code': '5857'}",4897
Alice Legrand,Nantes,Avenue de l'Opéra,23,01908,France,1997-03-18,French,HN9232254,2020-06-27,2030-06-26,F,02 07 03 87 63,alice.legrand@orange.fr,married,"{'name': 'Lycée International de Lyon', 'graduation_year': 2015}","[{'university': 'EMIC de Toulouse', 'graduation_year': 2021}]","[{'start_year': 2021, 'end_year': 2022, 'company': 'Société Générale S.A.', 'position': 'Investment Banker', 'salary': 31000}, {'start_year': 2023, 'end_year': 2025, 'company': 'Natixis S.A.', 'position': 'Private Equity Investor', 'salary': 50000}]","{'savings': 20000, 'inheritance': 2680000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2016, 'profession': 'Tech Entrepreneur'}",[],Moderate,Medium,Inexperienced,Advisory,"['France', 'Denmark']",EUR,"{'city': 'Nantes', 'street name': ""Avenue de l'Opéra"", 'street number': 23, 'postal code': '01908'}",5945
Martin David Louis,Besançon,Avenue Victor Hugo,49,68465,France,1970-11-01,French,AU8762629,2017-04-27,2027-04-26,M,05 50 30 79 24,martin.louis@numericable.fr,divorced,"{'name': 'Lycée International de Lyon', 'graduation_year': 1990}","[{'university': 'EMIC de Paris', 'graduation_year': 1993}]","[{'start_year': 1994, 'end_year': 1996, 'company': 'Natixis S.A.', 'position': 'Investment Banker', 'salary': 29000}, {'start_year': 1997, 'end_year': None, 'company': 'Crédit Agricole S.A.', 'position': 'Private Equity Investor', 'salary': 231000}]","{'savings': 440000, 'inheritance': 1610000, 'real_estate_value': 2850000}","{'relationship': 'grandmother', 'inheritance year': 2007, 'profession': 'Hedge Fund Manager'}","[{'property type': 'townhouse', 'property value': 1490000, 'property location': 'Besançon'}, {'property type': 'flat', 'property value': 1360000, 'property location': 'Marseille'}]",Considerable,Medium,Experienced,Discretionary,['France'],EUR,"{'city': 'Besançon', 'street name': 'Avenue Victor Hugo', 'street number': 49, 'postal code': '68465'}",8666
Araceli Concha Soto,Vigo,Plaza de la Merced,27,43213,Spain,1964-11-05,Spanish,UE5336202,2016-07-01,2026-06-30,F,+34 696 256 540,araceli.soto@outlook.com,married,"{'name': 'Colegio El Pilar Getafe', 'graduation_year': 1983}","[{'university': 'University of Valencia', 'graduation_year': 1989}, {'university': 'University of Barcelona', 'graduation_year': 1992}]","[{'start_year': 1989, 'end_year': 1992, 'company': 'Linklaters S.L.P.', 'position': 'Associate Attorney', 'salary': 24000}, {'start_year': 1994, 'end_year': 1999, 'company': 'Garrigues S.L.P.', 'position': 'Senior Associate', 'salary': 53000}, {'start_year': 1999, 'end_year': 2025, 'company': 'Uría Menéndez Abogados S.L.P.', 'position': 'Partner', 'salary': 402000}]","{'savings': 810000, 'inheritance': 5910000, 'real_estate_value': 940000}","{'relationship': 'grandfather', 'inheritance year': 2010, 'profession': 'Private Equity Manager'}","[{'property type': 'townhouse', 'property value': 940000, 'property location': 'Vigo'}]",Moderate,Medium,Expert,Discretionary,['Spain'],EUR,"{'city': 'Vigo', 'street name': 'Plaza de la Merced', 'street number': 27, 'postal code': '43213'}",604
Garcia Marchand Bonnet,Nantes,Rue Gay-Lussac,64,13990,France,1973-02-18,French,WZ0138183,2021-01-11,2031-01-10,M,+33 02 48 50 73 41,garcia.bonnet@orange.fr,married,"{'name': 'Lycée Carnot', 'graduation_year': 1991}","[{'university': 'University of Montpellier', 'graduation_year': 1996}, {'university': 'ESSEC Business School', 'graduation_year': 2000}]","[{'start_year': 1997, 'end_year': 1999, 'company': 'Chanel S.A.', 'position': 'Assistant Designer', 'salary': 34000}, {'start_year': 2000, 'end_year': 2001, 'company': 'Dior S.A.', 'position': 'Senior Designer', 'salary': 49000}, {'start_year': 2001, 'end_year': 2004, 'company': 'Dior S.A.', 'position': 'Creative Director', 'salary': 66000}, {'start_year': 2006, 'end_year': 2009, 'company': 'Dior S.A.', 'position': 'Founder/Designer', 'salary': 124000}, {'start_year': 2011, 'end_year': 2024, 'company': 'Louis Vuitton Malletier S.A.', 'position': 'Luxury Brand Owner', 'salary': 582000}]","{'savings': 910000, 'inheritance': 6140000, 'real_estate_value': 1740000}","{'relationship': 'grandmother', 'inheritance year': 2005, 'profession': 'Private Equity Manager'}","[{'property type': 'townhouse', 'property value': 1740000, 'property location': 'Nantes'}]",Low,Short,Experienced,Discretionary,"['France', 'Netherlands']",EUR,"{'city': 'Nantes', 'street name': 'Rue Gay-Lussac', 'street number': 64, 'postal code': '13990'}",2700
Thomas Faure Martin,Lyon,Avenue de l'Observatoire,77,09759,France,1957-02-08,French,ML3052362,2024-09-29,2034-09-28,M,03 79 65 71 38,thomas.martin@bbox.fr,married,"{'name': 'Lycée Blaise Pascal', 'graduation_year': 1975}","[{'university': 'ESSEC Business School', 'graduation_year': 1981}]","[{'start_year': 1981, 'end_year': 1984, 'company': ' Eurazeo SE', 'position': 'Analyst', 'salary': 34000}, {'start_year': 1985, 'end_year': 1990, 'company': ' Eurazeo SE', 'position': 'Associate', 'salary': 46000}, {'start_year': 1990, 'end_year': 1991, 'company': 'Apax Partners SAS', 'position': 'Investment Director', 'salary': 59000}, {'start_year': 1991, 'end_year': 2017, 'company': 'PAI Partners', 'position': 'Partner', 'salary': 594000}]","{'savings': 1130000, 'inheritance': 0, 'real_estate_value': 5616000}",{},"[{'property type': 'villa', 'property value': 2640000, 'property location': 'Lyon'}, {'property type': 'condo', 'property value': 1316000, 'property location': 'Angers'}, {'property type': 'townhouse', 'property value': 1660000, 'property location': 'Nice'}]",Low,Medium,Expert,Advisory,"['France', 'Denmark']",EUR,"{'city': 'Lyon', 'street name': ""Avenue de l'Observatoire"", 'street number': 77, 'postal code': '09759'}",7272
Carolin Fabienne Schulz,Wiesbaden,Alexanderplatz,84,12621,Germany,1955-10-04,German,XZ0098786,2017-08-01,2027-07-31,F,9076 112775,carolin.schulz@hotmail.com,married,"{'name': 'Friedrich-Wilhelms-Gymnasium Potsdam', 'graduation_year': 1973}","[{'university': 'Leipzig Graduate School of Management', 'graduation_year': 1978}]","[{'start_year': 1980, 'end_year': 1985, 'company': 'DWS Investments', 'position': 'Stockbroker', 'salary': 51000}, {'start_year': 1985, 'end_year': 2016, 'company': 'Deutsche Asset Management', 'position': 'Portfolio Manager', 'salary': 367000}]","{'savings': 740000, 'inheritance': 0, 'real_estate_value': 5700000}",{},"[{'property type': 'villa', 'property value': 2670000, 'property location': 'Wiesbaden'}, {'property type': 'flat', 'property value': 1180000, 'property location': 'Dresden'}, {'property type': 'house', 'property value': 1850000, 'property location': 'Düsseldorf'}]",Low,Medium,Experienced,Discretionary,['Germany'],EUR,"{'city': 'Wiesbaden', 'street name': 'Alexanderplatz', 'street number': 84, 'postal code': '12621'}",258
Lambrechts Peiren Roose,Arnhem,Kinkerstraat,78,0977 06,Netherlands,1960-07-30,Belgian,GR4032419,2024-12-29,2031-12-28,M,+31 06 73489965,lambrechts.roose@hotspots.nl,single,"{'name': 'Koninklijk Atheneum Anderlecht', 'graduation_year': 1979}","[{'university': 'Hasselt University', 'graduation_year': 1983}]","[{'start_year': 1985, 'end_year': 1990, 'company': 'ING Group N.V.', 'position': 'Investment Banker', 'salary': 45000}, {'start_year': 1991, 'end_year': 1992, 'company': 'Rabobank Group', 'position': 'Private Equity Investor', 'salary': 52000}, {'start_year': 1994, 'end_year': 1995, 'company': 'ABN AMRO Group N.V.', 'position': 'Hedge Fund Manager', 'salary': 76000}, {'start_year': 1997, 'end_year': 2021, 'company': 'Rabobank Group', 'position': 'Venture Capitalist', 'salary': 1031000}]","{'savings': 1730000, 'inheritance': 0, 'real_estate_value': 1350000}",{},"[{'property type': 'condo', 'property value': 1350000, 'property location': 'Arnhem'}]",Moderate,Short,Experienced,Discretionary,['Netherlands'],EUR,"{'city': 'Arnhem', 'street name': 'Kinkerstraat', 'street number': 78, 'postal code': '0977 06'}",5525
Olivia Hortense Michiels,Roeselare,Rue des Sœurs Noires,16,3037,Belgium,1992-11-19,Belgian,MD7235102,2018-04-09,2025-04-08,F,+32 0420 262 256,olivia.michiels@scarlet.be,married,"{'name': 'Atheneum Brugge Centrum', 'graduation_year': 2010}","[{'university': 'Ghent University', 'graduation_year': 2016}]","[{'start_year': 2016, 'end_year': 2017, 'company': 'AG Real Estate SA', 'position': 'Property Manager', 'salary': 41000}, {'start_year': 2017, 'end_year': None, 'company': 'Warehouses De Pauw SA', 'position': 'Developer', 'salary': 64000}]","{'savings': 70000, 'inheritance': 4590000, 'real_estate_value': 940000}","{'relationship': 'grandmother', 'inheritance year': 2018, 'profession': 'Neurosurgeon'}","[{'property type': 'townhouse', 'property value': 940000, 'property location': 'Roeselare'}]",Moderate,Short,Experienced,Advisory,['Belgium'],EUR,"{'city': 'Roeselare', 'street name': 'Rue des Sœurs Noires', 'street number': 16, 'postal code': '3037'}",1185
Lena Josefine Weber,Wels,Schönlaterngasse,16,3443,Austria,1972-11-01,Austrian,NM2614838,2023-07-18,2033-07-17,F,+43 942 102 0169,lena.weber@vol.at,married,"{'name': 'HTL Mödling', 'graduation_year': 1990}","[{'university': 'Vienna University of Economics and Business', 'graduation_year': 1996}]","[{'start_year': 1996, 'end_year': 2001, 'company': 'Equity Partners Investment GmbH', 'position': 'Analyst', 'salary': 37000}, {'start_year': 2001, 'end_year': 2004, 'company': 'Quadriga Capital GmbH', 'position': 'Associate', 'salary': 43000}, {'start_year': 2005, 'end_year': 2006, 'company': 'Alpha Private Equity', 'position': 'Investment Director', 'salary': 69000}, {'start_year': 2006, 'end_year': None, 'company': 'Alpha Private Equity', 'position': 'Partner', 'salary': 687000}]","{'savings': 1090000, 'inheritance': 5580000, 'real_estate_value': 2060000}","{'relationship': 'mother', 'inheritance year': 2007, 'profession': 'Venture Capitalist'}","[{'property type': 'flat', 'property value': 950000, 'property location': 'Wels'}, {'property type': 'condo', 'property value': 1110000, 'property location': 'Wels'}]",Moderate,Medium,Experienced,Discretionary,['Austria'],EUR,"{'city': 'Wels', 'street name': 'Schönlaterngasse', 'street number': 16, 'postal code': '3443'}",5717
Juliette Bertrand,Toulon,Boulevard des Italiens,59,40152,France,1968-04-30,French,PW9053298,2020-08-30,2030-08-29,F,06 42 26 59 91,juliette.bertrand@bbox.fr,married,"{'name': 'Lycée René Descartes', 'graduation_year': 1987}","[{'university': 'École Polytechnique', 'graduation_year': 1992}]","[{'start_year': 1992, 'end_year': 1995, 'company': 'Groupe Bouygues', 'position': 'Property Manager', 'salary': 31000}, {'start_year': 1997, 'end_year': 2001, 'company': 'Compagnie de Phalsbourg', 'position': 'Developer', 'salary': 51000}, {'start_year': 2001, 'end_year': 2004, 'company': 'Groupe Bouygues', 'position': 'Construction Company Owner', 'salary': 63000}, {'start_year': 2005, 'end_year': 2006, 'company': 'Groupe Bouygues', 'position': 'Real Estate Investment Trust (REIT) CEO', 'salary': 97000}, {'start_year': 2006, 'end_year': None, 'company': 'Compagnie de Phalsbourg', 'position': 'Landlord', 'salary': 984000}]","{'savings': 1730000, 'inheritance': 0, 'real_estate_value': 0}",{},[],Low,Short,Expert,Discretionary,['France'],EUR,"{'city': 'Toulon', 'street name': 'Boulevard des Italiens', 'street number': 59, 'postal code': '40152'}",8008
Saar Carlijn Wagemakers,Assen,Moreelsepark,88,2933 93,Netherlands,1980-11-17,Dutch,AY2938551,2021-03-18,2031-03-17,F,+31 06 96531220,saar.wagemakers@casema.nl,divorced,"{'name': 'Stedelijk Lyceum Enschede', 'graduation_year': 2000}","[{'university': 'Leiden University', 'graduation_year': 2004}]","[{'start_year': 2004, 'end_year': 2008, 'company': 'NH Hotel Group Nederland B.V.', 'position': 'Hotel Manager', 'salary': 44000}, {'start_year': 2009, 'end_year': 2014, 'company': 'NH Hotel Group Nederland B.V.', 'position': 'General Manager', 'salary': 67000}, {'start_year': 2016, 'end_year': None, 'company': 'Accor Hospitality Nederland B.V.', 'position': 'Regional Vice President', 'salary': 151000}]","{'savings': 250000, 'inheritance': 1780000, 'real_estate_value': 1200000}","{'relationship': 'mother', 'inheritance year': 2005, 'profession': 'Private Equity Manager'}","[{'property type': 'condo', 'property value': 1200000, 'property location': 'Assen'}]",Low,Short,Experienced,Advisory,"['France', 'Netherlands']",EUR,"{'city': 'Assen', 'street name': 'Moreelsepark', 'street number': 88, 'postal code': '2933 93'}",856
Claudia Angelica Galli,Perugia,Via Solferino,55,45667,Italy,1996-06-16,Italian,CK2945698,2018-10-06,2028-10-05,F,+39 343 9497600,claudia.galli@unidata.it,single,"{'name': 'Scuola Media Statale Giancarlo Siani Napoli', 'graduation_year': 2016}","[{'university': 'Superior School of Advanced Studies of Pisa', 'graduation_year': 2007}]","[{'start_year': 2000, 'end_year': 2024, 'company': 'Gruppo Starhotels S.p.A.', 'position': 'Hotel Manager', 'salary': 24000}]","{'savings': 10000, 'inheritance': 1590000, 'real_estate_value': 0}","{'relationship': 'grandfather', 'inheritance year': 2017, 'profession': 'Real Estate Developer'}",[],Low,Medium,Experienced,Advisory,['Italy'],EUR,"{'city': 'Perugia', 'street name': 'Via Solferino', 'street number': 55, 'postal code': '45667'}",2532
Louis Simon Guillaume,Rouen,Rue de la Paix,43,90011,France,1977-06-30,French,AN0525258,2024-10-20,2034-10-19,M,06 74 04 60 04,louis.guillaume@icloud.com,married,"{'name': 'Lycée Condorcet', 'graduation_year': 1997}","[{'university': 'École Polytechnique', 'graduation_year': 2002}]","[{'start_year': 2001, 'end_year': 2006, 'company': 'Louis Dreyfus Armateurs', 'position': 'Ship Broker', 'salary': 35000}, {'start_year': 2003, 'end_year': None, 'company': 'Neptune Lines France', 'position': 'Shipping Company Owner', 'salary': 175000}]","{'savings': 280000, 'inheritance': 3670000, 'real_estate_value': 1360000}","{'relationship': 'grandmother', 'inheritance year': 2011, 'profession': 'Tech Entrepreneur'}","[{'property type': 'condo', 'property value': 1360000, 'property location': 'Rouen'}]",Moderate,Medium,Experienced,Advisory,"['Switzerland', 'France']",EUR,"{'city': 'Rouen', 'street name': 'Rue de la Paix', 'street number': 43, 'postal code': '90011'}",8834
Hinterleitner Fuchs Lechner,Baden bei Wien,Reichsbrücke,66,8129,Austria,1977-06-25,Austrian,BM2847136,2018-08-13,2028-08-12,M,++45 836 764 1292,hinterleitner.lechner@yahoo.com,married,"{'name': 'Bundesgymnasium und Bundesrealgymnasium Wien I', 'graduation_year': 1987}","[{'university': 'University of Vienna', 'graduation_year': 2002}]","[{'start_year': 2001, 'end_year': 2005, 'company': 'Freshfields Bruckhaus Deringer LLP', 'position': 'Associate Attorney', 'salary': 30000}, {'start_year': 2005, 'end_year': None, 'company': 'Freshfields Bruckhaus Deringer LLP', 'position': 'Senior Associate', 'salary': 157000}]","{'savings': 280000, 'inheritance': 2080000, 'real_estate_value': 5090000}","{'relationship': 'father', 'inheritance year': 2006, 'profession': 'Real Estate Developer'}","[{'property type': 'villa', 'property value': 2180000, 'property location': 'Baden bei Wien'}, {'property type': 'house', 'property value': 1246000, 'property location': 'Klagenfurt'}, {'property type': 'villa', 'property value': 1664000, 'property location': 'Villach'}]",Moderate,Short,Expert,Advisory,['Austria'],EUR,"{'city': 'Baden bei Wien', 'street name': 'Reichsbrücke', 'street number': 66, 'postal code': '8129'}",7040
Segers Vandenberghe Peiren,Maaseik,Place Saint-Géry,86,4705,Belgium,1955-07-04,Belgian,ZJ2511772,2021-02-18,2028-02-17,M,+32 0421 269 857,segers.peiren@voo.be,married,"{'name': 'Institut Saint-Guibert', 'graduation_year': 1973}","[{'university': 'University of Namur', 'graduation_year': 1980}, {'university': 'Vrije Universiteit Brussel', 'graduation_year': 1984}]","[{'start_year': 1980, 'end_year': 1981, 'company': 'Cargill NV', 'position': 'Junior Trader', 'salary': 39000}, {'start_year': 1983, 'end_year': 2016, 'company': 'Cargill NV', 'position': 'Senior Trader', 'salary': 354000}]","{'savings': 670000, 'inheritance': 0, 'real_estate_value': 1740000}",{},"[{'property type': 'condo', 'property value': 758000, 'property location': 'Maaseik'}, {'property type': 'townhouse', 'property value': 982000, 'property location': 'La Louvière'}]",Moderate,Medium,Experienced,Advisory,['Belgium'],EUR,"{'city': 'Maaseik', 'street name': 'Place Saint-Géry', 'street number': 86, 'postal code': '4705'}",6192
Kägi Riedo Kammermann,Aarau,Rue de la Paix,16,1504,Switzerland,2002-12-25,Swiss,"['M7W224884', 'swap']",2023-02-01,2033-01-31,M,+41 058 014 39 13,kagi.kammermann@hotmail.com,single,"{'name': 'École secondaire de La Tour-de-Peilz Vaud', 'graduation_year': 2010}","[{'university': 'Franklin University Switzerland', 'graduation_year': 2025}]",[],"{'savings': 0, 'inheritance': 1370000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2015, 'profession': 'Real Estate Developer'}",[],Considerable,Long-Term,Inexperienced,Advisory,"['Germany', 'Switzerland']",CHF,"{'city': 'Aarau', 'street name': 'Rue de la Paix', 'street number': 16, 'postal code': '1504'}",5373
Encarna Dácil Torres,Madrid,Calle de la Universidad,97,83332,Spain,2004-01-19,Spanish,UU4682840,2017-04-06,2022-04-05,F,+34 618 455 241,encarna.torres@yahoo.com,single,"{'name': 'IES Pablo Picasso A Coruña', 'graduation_year': 2022}",[],[],"{'savings': 0, 'inheritance': 2880000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2019, 'profession': 'Stock Trader'}",[],Considerable,Long-Term,Inexperienced,Advisory,"['Spain', 'Italy']",EUR,"{'city': 'Madrid', 'street name': 'Calle de la Universidad', 'street number': 97, 'postal code': '83332'}",2156
Lotti Russo Giordano,Florence,Corso Como,93,93370,Italy,1961-09-07,Italian,SI6687548,2023-12-31,2033-12-30,M,+39 344 6808914,lotti.giordano@libero.it,married,"{'name': 'Istituto Tecnico Agrario Statale Francesco De Sanctis Foggia', 'graduation_year': 1980}","[{'university': 'European University of Rome', 'graduation_year': 1984}]","[{'start_year': 1985, 'end_year': 1987, 'company': 'Galleria Borghese', 'position': 'Art Dealer', 'salary': 24000}, {'start_year': 1989, 'end_year': 1992, 'company': 'Museo Poldi Pezzoli', 'position': 'Gallery Owner', 'salary': 37000}, {'start_year': 1994, 'end_year': 2022, 'company': 'Pinacoteca di Brera', 'position': 'Art Advisor', 'salary': 357000}]","{'savings': 700000, 'inheritance': 0, 'real_estate_value': 3165000}",{},"[{'property type': 'house', 'property value': 1035000, 'property location': 'Florence'}, {'property type': 'house', 'property value': 1350000, 'property location': 'Rome'}, {'property type': 'flat', 'property value': 780000, 'property location': 'Livorno'}]",Moderate,Short,Experienced,Advisory,"['Italy', 'Netherlands']",EUR,"{'city': 'Florence', 'street name': 'Corso Como', 'street number': 93, 'postal code': '93370'}",3084
