name,first_name,middle_name,last_name,passport_number,currency,address_city,address_street_name,address_street_number,address_postal_code,country_of_domicile,phone_number,email_address,address,client_id
Laaksonen Virtanen Tolvanen,Laaksonen,Virtanen,Tolvanen,KW7928505,EUR,Emmen,Koninginnegracht,79,6884 99,Netherlands,+31 06 39258855,laaksonen.tolvanen@hotspots.nl,"{'city': 'Emmen', 'street name': 'Koninginnegracht', 'street number': 79, 'postal code': '6884 99'}",221
Donati Livi Romano,Donati,Livi,Romano,VK0013383,EUR,Siena,Via del Governo Vecchio,39,15871,Italy,+39 373 3289050,donati.romano@fastweb.it,"{'city': 'Siena', 'street name': 'Via del Governo Vecchio', 'street number': 39, 'postal code': '15871'}",5138
Daantje Hannelore Meijer,Daantje,Hannelore,Meijer,WX8571949,EUR,Utrecht,Nieuwmarkt,92,9943 58,Netherlands,+31 06 19343004,daantje.meijer@outlook.com,"{'city': 'Utrecht', 'street name': 'Nieuwmarkt', 'street number': 92, 'postal code': '9943 58'}",5904
Encarna Daniela Ortega,Encarna,Daniela,Ortega,IK4761209,EUR,Murcia,Turia Gardens,39,88572,Spain,+34 671 099 593,encarna.ortega@vodafone.es,"{'city': 'Murcia', 'street name': 'Turia Gardens', 'street number': 39, 'postal code': '88572'}",1598
Juliette Ève Dupont,Juliette,Ève,Dupont,FO1310470,EUR,Orléans,Avenue de la Grande Armée,27,08980,France,+33 09 27 50 16 59,juliette.dupont@yahoo.com,"{'city': 'Orléans', 'street name': 'Avenue de la Grande Armée', 'street number': 27, 'postal code': '08980'}",8627
Essi Aino Koskinen,Essi,Aino,Koskinen,CZ5099470,EUR,Mikkeli,Esplanadi,53,16432,Finland,+358 044 820 58 98,essi.koskinen@icloud.com,"{'city': 'Mikkeli', 'street name': 'Esplanadi', 'street number': 53, 'postal code': '16432'}",645
 Marino Esposito Belli, Marino,Esposito,Belli,UG8101018,EUR,Taranto,Via Dora Riparia,88,50055,Italy,+39 302 3972138,marino.belli@tiscali.it,"{'city': 'Taranto', 'street name': 'Via Dora Riparia', 'street number': 88, 'postal code': '50055'}",8415
Ophélie Laetitia David,Ophélie,Laetitia,David,KB1944174,EUR,Lyon,Avenue de l'Opéra,87,61957,France,+33 05 78 80 68 76,ophelie.david@laposte.net,"{'city': 'Lyon', 'street name': ""Avenue de l'Opéra"", 'street number': 87, 'postal code': '61957'}",2913
Joséphine Maes,Joséphine,Élodie,Maes,KD6521622,EUR,Genk,Rue de la République,3,1218,Belgium,+32 0438 851 486,josephine.maes@skype.be,"{'city': 'Genk', 'street name': 'Rue de la République', 'street number': 3, 'postal code': '1218'}",477
Jacqueline Gwendolyn Weber,Jacqueline,Gwendolyn,Weber,YK9024908,EUR,Nuremberg,Tauentzienstraße,53,09199,Germany,+49 2244 149737,jacqueline.weber@t-online.de,"{'city': 'Nuremberg', 'street name': 'Tauentzienstraße', 'street number': 53, 'postal code': '09199'}",4822
Maja Sabrina Mayr,Maja,Sabrina,Mayr,YK6823694,EUR,Krems an der Donau,Groß-Enzersdorf,9,4030,Austria,+43 088 727 3093,maja.mayr@magenta.at,"{'city': 'Krems an der Donau', 'street name': 'Groß-Enzersdorf', 'street number': 9, 'postal code': '4030'}",9701
Renate Ilse Rieder,Renate,Ilse,Rieder,BK1833064,EUR,Wels,Graben,30,3829,Austria,960 970 2084,renate.rieder@aon.at,"{'city': 'Wels', 'street name': 'Graben', 'street number': 30, 'postal code': '3829'}",6749
Rissanen Seppälä Järvinen,Rissanen,Seppälä,Järvinen,ZI6093223,EUR,Siilinjärvi,Tyynenmerenkatu,50,77539,Finland,041 782 89 74,rissanen.jarvinen@suomi24.fi,"{'city': 'Siilinjärvi', 'street name': 'Tyynenmerenkatu', 'street number': 50, 'postal code': '77539'}",9533
Miettinen Uusitalo Salminen,Miettinen,Uusitalo,Salminen,XI7195806,EUR,Espoo,Kruununhaka,45,60766,Finland,+358 045 510 11 86,miettinen.salminen@suomi24.fi,"{'city': 'Espoo', 'street name': 'Kruununhaka', 'street number': 45, 'postal code': '60766'}",3009
Salo Ahonen Mustonen,Salo,Ahonen,Mustonen,EW2953590,EUR,Joensuu,Kruununhaka,22,16903,Finland,+358 042 534 33 05,salo.mustonen@phoenix.fi,"{'city': 'Joensuu', 'street name': 'Kruununhaka', 'street number': 22, 'postal code': '16903'}",483
Kristensen Højgaard Gundersen,Kristensen,Højgaard,Gundersen,MD7073666,DKK,Esbjerg Ø,Fiolgade,16,3531,Denmark,21 75 03 20,kristensen.gundersen@outlook.com,"{'city': 'Esbjerg Ø', 'street name': 'Fiolgade', 'street number': 16, 'postal code': '3531'}",3835
Mustonen Turunen Virtanen,Mustonen,Turunen,Virtanen,CZ9543305,EUR,,Calle de la Estrella,91,95065,Spain,+34 603 566 028,mustonen.virtanen@orange.es,"{'city': '', 'street name': 'Calle de la Estrella', 'street number': 91, 'postal code': '95065'}",8085
Antonia Angelica Ricci,Antonia,Angelica,Ricci,KW8080535,EUR,Treviso,Via Po,31,56218,Italy,334 4640063,antonia.ricci@libero.it,"{'city': 'Treviso', 'street name': 'Via Po', 'street number': 31, 'postal code': '56218'}",6923
Sørensen Knudsen Jensen,Sørensen,Knudsen,Jensen,EH2970711,CHF,Solothurn,Gertrudstrasse,98,6666,Switzerland,+41 030 144 50 23,srensen.jensen@sunrise.ch,"{'city': 'Solothurn', 'street name': 'Gertrudstrasse', 'street number': 98, 'postal code': '6666'}",9157
Carlotta Gabriella Bruno,Carlotta,Gabriella,Bruno,FW6332080,EUR,Livorno,Via XX Settembre,75,19719,Italy,+39 310 0071941,carlotta.bruno@virgilio.it,"{'city': 'Livorno', 'street name': 'Via XX Settembre', 'street number': 75, 'postal code': '19719'}",4648
Sarah Lena Rieder,Sarah,Lena,Rieder,TL6445628,EUR,Zwettl,Erzherzog-Johann-Allee,82,1669,Austria,+43 300 666 7416,sarah.rieder@gmail.com,"{'city': 'Zwettl', 'street name': 'Erzherzog-Johann-Allee', 'street number': 82, 'postal code': '1669'}",1934
Thomsen Oddershede Jørgensen,Thomsen,Oddershede,Jørgensen,MD0281297,DKK,Copenhagen,Langelinie,10,9585,Denmark,+45 11 11 00 57,thomsen.jrgensen@dk-hostmaster.dk,"{'city': 'Copenhagen', 'street name': 'Langelinie', 'street number': 10, 'postal code': '9585'}",1108
Sofia Costanza Lombardi,Sofia,Costanza,Lombardi,FD0217577,EUR,Rome,Piazza De Ferrari,60,33868,Italy,,sofia.lombardi@tin.it,"{'city': 'Rome', 'street name': 'Piazza De Ferrari', 'street number': 60, 'postal code': '33868'}",9365
Fabienne Evelyne Egli,Fabienne,Evelyne,Egli,GP7701521,CHF,Olten,Kornhausbrücke,65,5863,Switzerland,+41 017 301 83 67,fabienne.egli@lycos.ch,"{'city': 'Olten', 'street name': 'Kornhausbrücke', 'street number': 65, 'postal code': '5863'}",9739
Peeters Mulders Bakker,Peeters,Mulders,Bakker,PR2287989,EUR,Venlo,Rembrandtplein,8,0772 37,Netherlands,06 61218827,peeters.bakker@outlook.com,"{'city': 'Venlo', 'street name': 'Rembrandtplein', 'street number': 8, 'postal code': '0772 37'}",3203
Gutiérrez González,Gutiérrez,,González,TZ6776333,EUR,Seville,Plaza de la Sal,76,04350,Spain,+34 626 584 904,gutierrez.gonzalez@outlook.com,"{'city': 'Seville', 'street name': 'Plaza de la Sal', 'street number': 76, 'postal code': '04350'}",6771
Louna Fatima Smets,Louna,Fatima,Smets,BR2207963,EUR,Wavre,Rue des Dominicains,51,6888,Belgium,+32 0425 564 036,louna.smets@base.be,"{'city': 'Wavre', 'street name': 'Rue des Dominicains', 'street number': 51, 'postal code': '6888'}",689
Beatriz Fernández,Beatriz,,Fernández,GS1500258,EUR,Valencia,Plaza de la Independencia,60,85394,Spain,645 662 989,beatriz.fernandez@telefonica.es,"{'city': 'Valencia', 'street name': 'Plaza de la Independencia', 'street number': 60, 'postal code': '85394'}",4026
Alexandra Romane Smets,Alexandra,Romane,Smets,RW0062949,EUR,Antwerp,Quai des Péniches,18,8939,Belgium,+32 0433 351 795,alexandra.smets@telenet.be,"{'city': 'Antwerp', 'street name': 'Quai des Péniches', 'street number': 18, 'postal code': '8939'}",1554
Elisabeth Florine Schmid,Elisabeth,Florine,Schmid,EV9965382,CHF,Lucerne,Altstadt,68,5817,Switzerland,+41 061 492 42 62,elisabeth.schmid@icloud.com,"{'city': 'Lucerne', 'street name': 'Altstadt', 'street number': 68, 'postal code': '5817'}",4214
Russo Rizzo Leonardi,Russo,Rizzo, Leonardi,YA5872447,EUR,Parma,Via del Governo Vecchio,77,02715,Italy,+39 358 1450777,russo.leonardi@fastweb.it,"{'city': 'Parma', 'street name': 'Via del Governo Vecchio', 'street number': 77, 'postal code': '02715'}",1766
Vandenberghe Wouters Dumont,Vandenberghe,Wouters,Dumont,LP4905583,EUR,Brussels,Rue de la Paix,47,2055,Belgium,+32 0417 475 669,vandenberghe.dumont@scarlet.be,"{'city': 'Brussels', 'street name': 'Rue de la Paix', 'street number': 47, 'postal code': '2055'}",3031
Idun Camilla Mikkelsen,Idun,Camilla,Mikkelsen,YP2869615,DKK,Køge,Sølvgade,56,5959,Denmark,+45 89 36 00 74,idun.mikkelsen@webspace.dk,"{'city': 'Køge', 'street name': 'Sølvgade', 'street number': 56, 'postal code': '5959'}",6543
Vandenberghe Peiren Thiry,Vandenberghe,Peiren,Thiry,PX7693206,EUR,Wavre,Rue des Deux Portes,78,9833,Belgium,+32 0484 366 203,vandenberghe.thiry@hotmail.com,"{'city': 'Wavre', 'street name': 'Rue des Deux Portes', 'street number': 78, 'postal code': '9833'}",7491
Imke Helga Meier,Imke,Helga,Meier,QI9120834,EUR,Nuremberg,Friedrich-Ebert-Anlage,60,75362,Germany,+49 6654 307945,imke.meier@o2online.de,"{'city': 'Nuremberg', 'street name': 'Friedrich-Ebert-Anlage', 'street number': 60, 'postal code': '75362'}",4670
Ortega Fernández García,Ortega,Fernández,García,XV8259051,EUR,Teruel,Plaza de España,75,20865,Spain,+34 660 581 483,ortega.garcia@gmail.es,"{'city': 'Teruel', 'street name': 'Plaza de España', 'street number': 75, 'postal code': '20865'}",1302
Romane Ophélie Smets,Romane,Ophélie,Smets,BF3650235,EUR,Ghent,Chaussée de Waterloo,9,0190,Belgium,+32 0480 332 734,romane.smets@tvcablenet.be,"{'city': 'Ghent', 'street name': 'Chaussée de Waterloo', 'street number': 9, 'postal code': '0190'}",3455
Schneider Hoffmann Becker,Schneider,Hoffmann,Becker,SH1226784,EUR,Münster,Großer Hirschgraben,21,32917,Germany,++456681 471611,schneider.becker@t-online.de,"{'city': 'Münster', 'street name': 'Großer Hirschgraben', 'street number': 21, 'postal code': '32917'}",2587
Álvarez Sánchez Gil,Álvarez,Sánchez,Gil,TM8280083,EUR,Seville,Calle de la Victoria,43,54219,Spain,644 496 749,alvarez.gil@ya.com,"{'city': 'Seville', 'street name': 'Calle de la Victoria', 'street number': 43, 'postal code': '54219'}",8881
Gwendolyn Emilia Lorenz,Gwendolyn,Emilia,Lorenz,JZ3191857,EUR,Hamburg,Friedrichstraße,28,36437,Germany,+49 8971 785650,gwendolyn.lorenz@gmail.com,"{'city': 'Hamburg', 'street name': 'Friedrichstraße', 'street number': 28, 'postal code': '36437'}",9953
Schäfer Schwarz Koch,Schäfer,Schwarz,Koch,ED4062146,EUR,Karlsruhe,Johannisstraße,70,36590,Germany,2710 477271,schafer.koch@o2online.de,"{'city': 'Karlsruhe', 'street name': 'Johannisstraße', 'street number': 70, 'postal code': '36590'}",6127
David Dubois Robin,David,Dubois,Robin,BP0085866,EUR,Oviedo,Turia Gardens,46,83555,Spain,+34 648 492 509,david.robin@terra.es,"{'city': 'Oviedo', 'street name': 'Turia Gardens', 'street number': 46, 'postal code': '83555'}",3667
Aurora Heta Ruotsalainen,Aurora,Heta,Ruotsalainen,XL7378941,EUR,Hämeenlinna,Sinikalliontie,29,20459,Finland,+358 042 596 50 18,aurora.ruotsalainen@pp.inet.fi,"{'city': 'Hämeenlinna', 'street name': 'Sinikalliontie', 'street number': 29, 'postal code': '20459'}",6315
Bianchi De Luca Galli,Bianchi,De Luca,Galli,MH1585203,EUR,Ancona,Via del Corso,89,66774,Italy,+39 348 0957761,bianchi.galli@wind.it,"{'city': 'Ancona', 'street name': 'Via del Corso', 'street number': 89, 'postal code': '66774'}",5590
Robin Thomas Lambert,Robin,Thomas,Lambert,GA4394037,EUR,Turin,Via del Tritone,17,82679,Italy,+39 392 8408769,robin.lambert@alice.it,"{'city': 'Turin', 'street name': 'Via del Tritone', 'street number': 17, 'postal code': '82679'}",4442
Ophélie Léa Mertens,Ophélie,Léa,Mertens,BX6841513,EUR,Poperinge,Rue des Capucins,15,5717,Belgium,0448 715 788,ophelie.mertens@telenet.be,"{'city': 'Poperinge', 'street name': 'Rue des Capucins', 'street number': 15, 'postal code': '5717'}",1130
Bühler Weber Brunner,Bühler,Weber,Brunner,LE2987877,CHF,Bellinzona,Rue de l'Hôtel-de-Ville,91,8803,Switzerland,028 733 78 12,buhler.brunner@swisscom.ch,"{'city': 'Bellinzona', 'street name': ""Rue de l'Hôtel-de-Ville"", 'street number': 91, 'postal code': '8803'}",5756
Kammermann Riedo Keller,Kammermann,Riedo,Keller,GQ6855287,CHF,Lugano,Kornhausplatz,98,3626,Switzerland,+41 062 643 74 66,kammermann.keller@sunrise.ch,"{'city': 'Lugano', 'street name': 'Kornhausplatz', 'street number': 98, 'postal code': '3626'}",4684
Lea Lynn Keller,Lea,Lynn,Keller,YV6951840,CHF,Baden,Untere Hauptgasse,70,6361,Switzerland,004 729 86 45,lea.keller@yahoo.com,"{'city': 'Baden', 'street name': 'Untere Hauptgasse', 'street number': 70, 'postal code': '6361'}",8049
Eevi Josefiina Salo,Eevi,Josefiina,Salo,NT8079585,EUR,Cartagena,Passeig Marítim,55,21756,Spain,+34 691 744 406,eevi.salo@telefonica.es,"{'city': 'Cartagena', 'street name': 'Passeig Marítim', 'street number': 55, 'postal code': '21756'}",817
Britt Julia Meijer,Britt,Julia,Meijer,EA3210336,EUR,Enschede,Waterlooplein,72,9608 67,Netherlands,06 29337741,britt.meijer@yahoo.com,"{'city': 'Enschede', 'street name': 'Waterlooplein', 'street number': 72, 'postal code': '9608 67'}",2573
Inès Chloé Martin,Inès,Chloé,Martin,ZO0257209,EUR,Angers,Avenue d'Italie,92,41779,France,+33 08 91 25 99 41,ines.martin@numericable.fr,"{'city': 'Angers', 'street name': ""Avenue d'Italie"", 'street number': 92, 'postal code': '41779'}",7001
Bianchi Fabbri,Bianchi,,Fabbri,DF7901749,EUR,Bruges,Rue du Marché aux Fromages,96,3541,Belgium,0429 045 157,bianchi.fabbri@gmail.com,"{'city': 'Bruges', 'street name': 'Rue du Marché aux Fromages', 'street number': 96, 'postal code': '3541'}",8875
Fernández Rodríguez,Fernández,,Rodríguez,XO8127047,EUR,Salamanca,Plaza Mayor,54,28035,Spain,+34 661 822 526,fernandez.rodriguez@yahoo.com,"{'city': 'Salamanca', 'street name': 'Plaza Mayor', 'street number': 54, 'postal code': '28035'}",3693
Petersen Jensen,Petersen,,Jensen,RQ3618526,DKK,Esbjerg,Kattesundet,16,2710,Denmark,66 14 98 84,petersen.jensen@tiscali.dk,"{'city': 'Esbjerg', 'street name': 'Kattesundet', 'street number': 16, 'postal code': '2710'}",2741
Rizzo Esposito Martini,Rizzo,Esposito,Martini,MM3902456,EUR,Genoa,Via Nazionale,95,75104,Italy,+39 363 1895631,rizzo.martini@gmail.com,"{'city': 'Genoa', 'street name': 'Via Nazionale', 'street number': 95, 'postal code': '75104'}",219
Tess Julia Vogel,Tess,Julia,Vogel,IK0467627,EUR,Assen,Maliebaan,23,0295 64,Netherlands,06 21192074,tess.vogel@yahoo.com,"{'city': 'Assen', 'street name': 'Maliebaan', 'street number': 23, 'postal code': '0295 64'}",7233
Brinkman Spaans Teunissen,Brinkman,Spaans,Teunissen,TI4915544,EUR,Almere,Maliebaan,38,1592 01,Netherlands,+31 06 58907641,brinkman.teunissen@icloud.com,"{'city': 'Almere', 'street name': 'Maliebaan', 'street number': 38, 'postal code': '1592 01'}",5564
Céline Noemi Zbinden,Céline,Noemi,Zbinden,IO4018289,CHF,Schaffhausen,Quai du Général-Guisan,89,6561,Switzerland,,celine.zbinden@swissonline.ch,"{'city': 'Schaffhausen', 'street name': 'Quai du Général-Guisan', 'street number': 89, 'postal code': '6561'}",2325
Schneider Wagner Weber,Schneider,Wagner,Weber,ND2116956,EUR,Braunschweig,Marktplatz,35,74197,Germany,+49 0079 976851,schneider.weber@yahoo.com,"{'city': 'Braunschweig', 'street name': 'Marktplatz', 'street number': 35, 'postal code': '74197'}",6785
Schmidt Gruber Graf,Schmidt,Gruber,Graf,UI9619850,EUR,Bregenz,Erzherzog-Johann-Allee,17,2214,Austria,+43 936 417 1044,schmidt.graf@gmx.at,"{'city': 'Bregenz', 'street name': 'Erzherzog-Johann-Allee', 'street number': 17, 'postal code': '2214'}",7657
Koch Schulze Schäfer,Koch,Schulze,Schäfer,ED9652888,EUR,Gelsenkirchen,Friedrichstraße,58,80968,Germany,+49 6967 963526,koch.schafer@gmail.com,"{'city': 'Gelsenkirchen', 'street name': 'Friedrichstraße', 'street number': 58, 'postal code': '80968'}",5100
Wagemakers Terpstra Veenhoven,Wagemakers,Terpstra,Veenhoven,EL4813731,EUR,Boxtel,Torenstraat,9,6012 40,Netherlands,06 59289528,wagemakers.veenhoven@hotspots.nl,"{'city': 'Boxtel', 'street name': 'Torenstraat', 'street number': 9, 'postal code': '6012 40'}",5332
Karen Anna Hansen,Karen,Anna,Hansen,LG8786235,DKK,Gentofte,Langebro,4,7059,Denmark,+45 69 93 61 27,karen.hansen@yousee.dk,"{'city': 'Gentofte', 'street name': 'Langebro', 'street number': 4, 'postal code': '7059'}",1792
Willems Voorn Visser,Willems,Voorn,Visser,MO4040602,EUR,Tilburg,Korte Voorhout,33,9706 99,Netherlands,06 74536859,willems.visser@home.nl,"{'city': 'Tilburg', 'street name': 'Korte Voorhout', 'street number': 33, 'postal code': '9706 99'}",2117
Durand Dubois Thomas,Thomas,Dubois,Durand,JL9083465,EUR,Le Havre,Rue Elzévir,2,21632,France,+33 07 34 56 32 69,durand.thomas@numericable.fr,"{'city': 'Le Havre', 'street name': 'Rue Elzévir', 'street number': 2, 'postal code': '21632'}",7465
Isabella Federica Esposito,Isabella,Federica,Esposito,TH5446577,EUR,Brescia,Piazza Venezia,92,25629,Italy,+39 357 7920457,isabella.esposito@libero.it,"{'city': 'Brescia', 'street name': 'Piazza Venezia', 'street number': 92, 'postal code': '25629'}",1933
Conti Esposito Lotti,Conti,Esposito,Lotti,HJ7428543,EUR,Cagliari,Via XX Settembre,36,53421,Italy,365 5426707,conti.lotti@icloud.com,"{'city': 'Cagliari', 'street name': 'Via XX Settembre', 'street number': 36, 'postal code': '53421'}",3658
Tess Isabelle Maassen,Tess,Isabelle,Maassen,QE9599132,EUR,The Hague,Willemsparkweg,8,3037 02,Netherlands,06 85892036,tess.maassen@hetnet.nl,"{'city': 'The Hague', 'street name': 'Willemsparkweg', 'street number': 8, 'postal code': '3037 02'}",9362
Isa Charlotte Jansen,Isa,Charlotte,Krol,KC1971945,EUR,Hengelo,Maliebaan,28,9518 27,Netherlands,+31 06 24575342,isa.jansen@icloud.com,"{'city': 'Hengelo', 'street name': 'Maliebaan', 'street number': 28, 'postal code': '9518 27'}",8082
Christine Alberte Thomsen,Christine,Alberte,Thomsen,LX4004014,DKK,Aalborg,Studiestræde,86,0966,Denmark,+45 12 17 68 54,christine.thomsen@telenor.dk,"{'city': 'Aalborg', 'street name': 'Studiestræde', 'street number': 86, 'postal code': '0966'}",9150
 Marino Rizzo Giordano, Marino,Rizzo,Giordano,XR4766688,EUR,Brescia,Piazza Castello,19,13094,Italy,+39 317 3564990,marino.giordano@tin.it,"{'city': 'Brescia', 'street name': 'Piazza Castello', 'street number': 19, 'postal code': '13094'}",6924
Castro Morales García,Castro,Morales,García,VD9020601,EUR,Oviedo,Calle de San Andrés,16,77859,Spain,681 783 526,castro.garcia@vodafone.es,"{'city': 'Oviedo', 'street name': 'Calle de San Andrés', 'street number': 16, 'postal code': '77859'}",6118
Eleonora Isabella Marini,Eleonora,Isabella,Marini,XZ5222987,EUR,Messina,Via Giulia,68,23318,Italy,+39 371 4344684,eleonora.marini@unidata.it,"{'city': 'Messina', 'street name': 'Via Giulia', 'street number': 68, 'postal code': '23318'}",9534
Maes Raes Dupont,Maes,Raes,Dupont,AO2556599,EUR,Bochum,Neuer Markt,6,94171,Germany,6526 676210,maes.dupont@web.de,"{'city': 'Bochum', 'street name': 'Neuer Markt', 'street number': 6, 'postal code': '94171'}",484
Aino Iiris Lehtinen,Aino,Iiris,Lehtinen,RM6372614,EUR,Hämeenlinna,Ruoholahteenkatu,35,07137,Finland,+358 042 508 41 68,aino.lehtinen@dnainternet.fi,"{'city': 'Hämeenlinna', 'street name': 'Ruoholahteenkatu', 'street number': 35, 'postal code': '07137'}",3832
Friis Sørensen Krog,Friis,Sørensen,Krog,MU1557609,EUR,Barcelona,Plaza de España,82,31834,Spain,663 462 298,friis.krog@gmail.es,"{'city': 'Barcelona', 'street name': 'Plaza de España', 'street number': 82, 'postal code': '31834'}",1759
Wouters Smets Sanders,Wouters,Smets,Sanders,WS9216321,EUR,Geel,Avenue Franklin Roosevelt,30,5273,Belgium,+32 0419 785 716,wouters.sanders@voo.be,"{'city': 'Geel', 'street name': 'Avenue Franklin Roosevelt', 'street number': 30, 'postal code': '5273'}",4019
Margaux Thomas,Margaux,,Thomas,BH3897027,EUR,Bordeaux,Place Vendôme,78,67603,France,00 95 13 31 35,margaux.thomas@laposte.net,"{'city': 'Bordeaux', 'street name': 'Place Vendôme', 'street number': 78, 'postal code': '67603'}",4825
Ève Colombe Legrand,Ève,Colombe,Legrand,NU9649250,EUR,Saint-Étienne,Rue de Sèvres,40,65309,France,07 63 25 82 81,eve.legrand@laposte.net,"{'city': 'Saint-Étienne', 'street name': 'Rue de Sèvres', 'street number': 40, 'postal code': '65309'}",9706
Janneke Evelien Peeters,Janneke,Evelien,Peeters,OR2017378,EUR,Tilburg,Markt,68,0470 00,Netherlands,06 94165927,janneke.peeters@home.nl,"{'city': 'Tilburg', 'street name': 'Markt', 'street number': 68, 'postal code': '0470 00'}",2128
Rodríguez Soto González,Rodríguez,Soto,González,EV8472669,EUR,Salamanca,Calle de San Bernardo,35,73153,Spain,654 784 564,rodriguez.gonzalez@telefonica.es,"{'city': 'Salamanca', 'street name': 'Calle de San Bernardo', 'street number': 35, 'postal code': '73153'}",8412
Kägi Weber Gasser,Kägi,Weber,Gasser,ZK3598052,CHF,Sion,Limmatquai,83,1912,Switzerland,+41 058 268 50 19,kagi.gasser@swissonline.ch,"{'city': 'Sion', 'street name': 'Limmatquai', 'street number': 83, 'postal code': '1912'}",2914
Donati Fabbri Martini,Donati,Fabbri,Martini,ZT7085556,EUR,Siena,Corso Garibaldi,78,60583,Italy,382 0618709,donati.martini@aruba.it,"{'city': 'Siena', 'street name': 'Corso Garibaldi', 'street number': 78, 'postal code': '60583'}",6588
Meier Furrer Zbinden,Meier,Furrer,Zbinden,HV1271953,CHF,Fribourg,Untere Hauptgasse,73,7103,Switzerland,+41 026 185 71 90,meier.zbinden@icloud.com,"{'city': 'Fribourg', 'street name': 'Untere Hauptgasse', 'street number': 73, 'postal code': '7103'}",470
Jiménez Martín Herrera,Jiménez,Martín,Herrera,QX1718659,EUR,Toledo,Plaza de España,10,77607,Spain,659 933 769,jimenez.herrera@hotmail.es,"{'city': 'Toledo', 'street name': 'Plaza de España', 'street number': 10, 'postal code': '77607'}",5903
Gabrielle Laurène Durand,Gabrielle,Laurène,Durand,CK7132641,CHF,Frauenfeld,Altstadt,29,9745,Switzerland,+41 043 535 06 38,gabrielle.durand@yahoo.com,"{'city': 'Frauenfeld', 'street name': 'Altstadt', 'street number': 29, 'postal code': '9745'}",8620
Sofia Louise Christensen,Sofia,Louise,Christensen,RG3950570,DKK,Århus N,Krimsvej,7,3375,Denmark,+45 32 92 78 67,sofia.christensen@yousee.dk,"{'city': 'Århus N', 'street name': 'Krimsvej', 'street number': 7, 'postal code': '3375'}",642
Vandenberghe Peters Sanders,Vandenberghe,Peters,Sanders,SE4667812,EUR,Roeselare,Place de la Liberté,16,3069,Belgium,+32 0474 234 503,vandenberghe.sanders@belgacom.be,"{'city': 'Roeselare', 'street name': 'Place de la Liberté', 'street number': 16, 'postal code': '3069'}",7668
Tanja Hinterleitner,Tanja,,Hinterleitner,YZ6373297,EUR,Graz,Reichsbrücke,39,0446,Austria,+43 382 042 3912,tanja.hinterleitner@icloud.com,"{'city': 'Graz', 'street name': 'Reichsbrücke', 'street number': 39, 'postal code': '0446'}",4489
Bonnet Faure Lemaître,Bonnet,Faure,Lemaître,MH8902003,EUR,Le Havre,Rue de la Butte-aux-Cailles,64,75887,France,+33 02 33 17 52 29,bonnet.lemaitre@laposte.net,"{'city': 'Le Havre', 'street name': 'Rue de la Butte-aux-Cailles', 'street number': 64, 'postal code': '75887'}",8244
Tess Floor Meijer,Tess,Floor,Meijer,WO5089883,EUR,Oss, Stationsplein,10,1276 10,Netherlands,++45 06 89364174,tess.meijer@upcmail.nl,"{'city': 'Oss', 'street name': ' Stationsplein', 'street number': 10, 'postal code': '1276 10'}",9396
Muñoz Vázquez Romero,Muñoz,Vázquez,Romero,KV1724201,EUR,San Sebastián,Gran Vía,92,32452,Spain,+34 695 511 405,munoz.romero@hotmail.com,"{'city': 'San Sebastián', 'street name': 'Gran Vía', 'street number': 92, 'postal code': '32452'}",226
Helmi Iida Turunen,Helmi,Iida,Turunen,NT6796211,EUR,Joensuu,Kruununhaka,32,46857,Finland,+358 040 374 04 81,helmi.turunen@dnainternet.fi,"{'city': 'Joensuu', 'street name': 'Kruununhaka', 'street number': 32, 'postal code': '46857'}",7802
Lehmann Meier Weber,Lehmann,Meier,Weber,GN6959916,CHF,Kreuzlingen,Kornhausplatz,71,9777,Switzerland,065 935 93 10,lehmann.weber@gmail.com,"{'city': 'Kreuzlingen', 'street name': 'Kornhausplatz', 'street number': 71, 'postal code': '9777'}",8076
Suárez Vázquez López,Suárez,Vázquez,López,XG1076649,EUR,Castellón de la Plana,Calle de San Juan Bautista,14,54282,Spain,682 208 737,suarez.lopez@orange.es,"{'city': 'Castellón de la Plana', 'street name': 'Calle de San Juan Bautista', 'street number': 14, 'postal code': '54282'}",828
Vogel Meijer Bakker,Vogel,Meijer,Bakker,KA6647699,EUR,Tilburg,Zuidas,26,9328 76,Netherlands,06 28629852,vogel.bakker@home.nl,"{'city': 'Tilburg', 'street name': 'Zuidas', 'street number': 26, 'postal code': '9328 76'}",9998
Lehmann Wyss Meier,Lehmann,Wyss,Meier,XN5603694,CHF,Schaffhausen,Spalenberg,39,1809,Switzerland,020 435 79 98,lehmann.meier@swissonline.ch,"{'city': 'Schaffhausen', 'street name': 'Spalenberg', 'street number': 39, 'postal code': '1809'}",5769
Sofia Juliane Weber,Sofia,Juliane,Weber,LM5544071,EUR,Nuremberg,Schönhauser Allee,84,51988,Germany,+49 8394 862390,sofia.weber@unitybox.de,"{'city': 'Nuremberg', 'street name': 'Schönhauser Allee', 'street number': 84, 'postal code': '51988'}",1369
Neumann Schmitz Schwarz,Neumann,Schmitz,Schwarz,BU8535237,EUR,Freiburg im Breisgau,Reeperbahn,81,32056,Germany,+49 4092 523944,neumann.schwarz@arcor.de,"{'city': 'Freiburg im Breisgau', 'street name': 'Reeperbahn', 'street number': 81, 'postal code': '32056'}",9938
