currency,address_city,country_of_domicile,birth_date,nationality,gender,marital_status,higher_education,investment_risk_profile,investment_horizon,investment_experience,type_of_mandate,preferred_markets,aum_savings,aum_inheritance,aum_real_estate_value,inheritance_details_relationship,inheritance_details_profession,inheritance_details_inheritance year,Family Background,Education Background,Wealth Summary,Client Summary,country,label
EUR,Gijón,Spain,2/17/93,Spanish,F,single,1,High,Medium,Inexperienced,Advisory,['Spain'],30000,1380000,2891000,grandfather,Private Equity Manager,2017,Andrea Angela Ibáñez is currently single. She does not have any children.,"In 2011, Andrea finished her secondary school education at IES Alfonso X el Sabio Murcia.
Andrea received her degree from Pompeu Fabra University in 2017.
Moreover she completed her extra university education at Madrid School of Fine Arts in 2020.
","She managed to save approximately 30000 EUR from her earnings at all companies.
She has flat located in Gijón, worth 811000 EUR.

In addition to her primary residence, she owns house in Valencia worth 1410000 EUR.

Moreover, she has invested in additional property in Palma de Mallorca, giving possiblity for generating additional income. The flat is valued at 8000000 EUR.

She inherited a significant sum of 1380000 EUR from her grandfather, a respected Private Equity Manager, in 2017, which she has wisely invested.
","In conclusion, we are confident in the client's financial stability and future prospects.
",Spain,0
EUR,Clermont-Ferrand,France,6/18/59,French,M,widowed,1,Moderate,Medium,Experienced,Advisory,['France'],1390000,0,6300000,,,,Fournier Simon Lemaître is currently widowed. He does not have any children.,"Fournier earned his secondary school diploma from Lycée Pierre Corneille in 1979.
Fournier attended University of Montpellier and graduated in 1984.
Additionally, he went on to study at École Polytechnique until 1986.
","While working, he saved 1390000 EUR, which he used to build a diversified investment portfolio.
He has invested in several rental properties across various locations, generating additional income. The properties are valued at 6300000 EUR.

He does not have any inheritances.","Based on the information provided, we are excited about the client's financial journey and look forward to supporting him in achieving his financial goals.
",France,1
DKK,Slagelse,Denmark,6/1/86,Danish,M,divorced,1,Low,Medium,Experienced,Advisory,"['France', 'Denmark']",1240000,22420000,4211000,grandfather,Neurosurgeon,2018,Mikkelsen Friis Petersen is currently divorced. His children are named Ida and Ellen.,"In 2005, Mikkelsen finished his secondary school education at Skive Gymnasium.
Mikkelsen completed his university education at University College Capital in 2010.
Mikkelsen earned his additionally degree from University College Absalon in 2014.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 1240000 DKK.
His remarkable portfolio comprises 3 stunning properties. Situated in prime locations across Copenhagen, Horsens and Slagelse, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
He inherited a significant sum of 22420000 DKK from his grandfather, a respected Neurosurgeon, in 2018, which he has wisely invested.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome him as a new client.
",Denmark,1
CHF,Bern,Switzerland,3/18/69,Swiss,F,married,1,Moderate,Medium,Experienced,Advisory,"['Germany', 'Switzerland']",2580000,1480000,3340000,grandmother,Oil and Gas Executive,2015,"Emma Fabienne Schmid has been happily married to Müller since 2002. They are proud parents of 3 children: Lehmann, Elena and Amanda.","In 1986, Emma graduated from Kantonsschule Zürich Nord Zurich with a secondary school diploma.
Emma earned her degree from Bern University of Applied Sciences in 1992.
","She managed to save approximately 2580000 CHF from her earnings at all companies.
She owns house in Bern, where she resides. It is worth 3340000 CHF.


In addition to her career success, she also received an inheritance of 1480000 CHF from her late grandmother, a renowned Oil and Gas Executive, in 2015.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome her as a new client.
",Switzerland,1
EUR,Valladolid,Spain,3/4/66,Spanish,M,widowed,1,Low,Medium,Expert,Discretionary,"['Austria', 'Spain']",1070000,760000,3191000,mother,Real Estate Developer,2010,"Díaz Soto Gil is currently divorced. He has 3 kids called Gutiérrez, Elena and Antonia.","Díaz obtained his secondary school diploma from Instituto de Bachillerato Artístico IES Reina Sofia Tenerife in 1985.
Díaz earned his degree from Pompeu Fabra University in 1990.
","Throughout his career, he saved 1070000 EUR, investing in various assets to grow his wealth.
He owns 2 exceptional properties: flat located in Valladolid, valued at approximately 1,031,000.00 EUR, villa located in Bilbao, valued at approximately 2,160,000.00 EUR. This impressive collection showcases his flair for luxury living and investment prowess, with a notable presence in Valladolid and Bilbao.
He inherited a significant sum of 760000 EUR from his mother, a respected Real Estate Developer, in 2010, which he has wisely invested.
","Based on the information provided, we are excited about the client's financial journey and look forward to supporting him in achieving his financial goals.
",Spain,0
EUR,Gijón,Spain,7/18/73,Swiss,F,single,1,Low,Short,Expert,Discretionary,"['Switzerland', 'Spain']",2240000,620000,890000,mother,Neurosurgeon,2015,Lena Caroline Hagenbuch is currently single. She does not have any children.,"In 1991, Lena graduated from Gymnasium Leonhard Winterthur with a secondary school diploma.
She then attended University of Zurich, which she graduated in 1998.
","She managed to save approximately 2240000 EUR from her earnings at all companies.
She has flat located in Gijón, worth 890000 EUR.

She inherited a significant sum of 620000 EUR from her mother, a respected Neurosurgeon, in 2015, which she has wisely invested.
","The RM knows the client very well and is a good friend of the entire family.
",Switzerland,1
EUR,Helmond,Netherlands,11/25/64,Dutch,M,widowed,1,Low,Medium,Experienced,Discretionary,['Netherlands'],1680000,390000,5460000,grandmother,Real Estate Developer,2012,Van der Meer Smeets Stam is currently widowed. His children are named Kuipers and Voorn.,"Van der Meer finished secondary school at Wesselink College Amersfoort in 1984.
Van der Meer finished his studies at Amsterdam University College in 1977.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 1680000 EUR.
His remarkable portfolio comprises 2 stunning properties. Situated in prime locations across Utrecht and Helmond, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
He inherited a significant sum of 390000 EUR from his , a respected Real Estate Developer, in , which he has wisely invested.
","Given the client's impressive career history and financial discipline, we are confident in his ability to achieve financial success and security.
",Netherlands,0
EUR,Amsterdam,Netherlands,8/26/89,Dutch,F,married,1,Considerable,Long-Term,Experienced,Discretionary,"['Denmark', 'Netherlands']",70000,1060000,4840000,grandmother,Private Equity Manager,2017,Tess Fleur Smeets and Schipper tied the knot in 2023. Together they have 2 kids called Smeets and Joyce.,"In 2007, Tess graduated from Leonardo College 's-Hertogenbosch with a secondary school diploma.
Tess earned her degree from Avans University of Applied Sciences in 2014.
","She managed to save approximately 70000 EUR from her earnings at all companies.
She owns flat in Amsterdam, where she resides. It is worth 1070000 EUR.

She purchased house in Hengelo, where she spends her holidays. It is valued at 1587000 EUR.
Moreover, she has invested in additional property in Zaandam, giving possiblity for generating additional income. The house is valued at 2183000 EUR.


Following the passing of her grandmother, a successful Private Equity Manager, she received an inheritance of 1060000 EUR in 2017, which she has used to secure her financial future.

","In conclusion, we are confident in the client's financial stability and future prospects.
",Netherlands,1
EUR,Spittal an der Drau,Austria,12/27/97,Austrian,F,married,1,Considerable,Long-Term,Inexperienced,Advisory,['Austria'],20000,2950000,0,grandmother,Corporate Lawyer,2020,Heidi Renate Lechner and Gruber have been married since 2024. They do not have any children.,"Heidi graduated from Privatgymnasium der Dominikanerinnen in 2017.
She then attended University of Innsbruck, which she graduated in 2021.
","During her work, she focused on financial growth, making diverse investments and ultimately saving 20000 EUR.
Client does not have any properties.In 2020, she received an inheritance of 2950000 EUR from her late grandmother, who was a prominent Corporate Lawyer, and has since invested it in various assets.
","The RM is very happy to have Heidi as a customer and is looking forward to a long and successful cooperation.
",Austria,0
DKK,Gladsaxe,Denmark,2/10/96,Danish,M,married,1,High,Long-Term,Inexperienced,Discretionary,['Denmark'],440000,19960000,0,grandfather,Venture Capitalist,2019,Jørgensen Christensen and Laura have been married since 2020. They do not have any children.,"In 2014, Jørgensen graduated from Skt. Knuds Gymnasium with a secondary school diploma.
Jørgensen graduated from The Royal Danish Academy of Fine Arts - Schools of Architecture, Design and Conservation in 2020, completing his higher education.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 440000 DKK.
Client does not have any properties.
In addition to his career success, he also received an inheritance of 19960000 DKK from his late grandfather, a renowned Venture Capitalist, in 2019.
","The RM knows the client very well and is a good friend of the entire family.
",Denmark,1
EUR,Reggio Calabria,Italy,4/27/55,Italian,F,widowed,1,Moderate,Short,Expert,Discretionary,['Italy'],540000,0,4548000,,,,Gaia Giovanna Russo is currently widowed. She does not have any children.,"Gaia finished secondary school at Istituto Tecnico Industriale Statale Enrico Mattei Roma in 1974.
Gaia received her degree from International School for Advanced Studies (SISSA) in 1980.
","Throughout her career, she saved 540000 EUR, investing in various assets to grow her wealth.
She owns house in Reggio Calabria, where she resides. It is worth 1766000 EUR.

She purchased house in Ancona, where she spends her holidays. It is valued at 1552000 EUR.
On top of that she inherited a beautiful house in Padua, which could be used as a weekend getaway. It is valued at 1230000 EUR.
She does not have any inheritances.","Given the client's impressive career history and financial discipline, we are confident in her ability to achieve financial success and security.
",Italy,0
DKK,Odense,Denmark,9/12/03,Danish,M,single,1,Moderate,Medium,Inexperienced,Discretionary,['Denmark'],0,12630000,0,grandfather,Tech Entrepreneur,2020,Friis Andersen Mikkelsen is currently single. He does not have any children.,"Friis obtained his secondary school diploma from Skive Gymnasium in 2021.
","He did not manage to save any money during his career.
Client does not have any properties.He inherited a significant sum of 12630000 DKK from his grandfather, a respected Tech Entrepreneur, in 2020, which he has wisely invested.
","The RM is excited to help Friis navigate the challenges of starting a career and building a strong financial foundation.
",Denmark,1
EUR,Hoofddorp,Netherlands,3/2/77,Dutch,F,married,1,Moderate,Medium,Experienced,Discretionary,"['Italy', 'Netherlands']",1370000,4160000,3648000,father,Tech Entrepreneur,2014,Anne Eva Wagemakers and Snijders have been married since 2008. They are proud parents of 1 child: Vogel.,"Anne received her secondary school diploma from Calvijn College Goes in 1995.
Anne graduated from Delft University of Technology in 2001, completing her higher education.
","During her work, she focused on financial growth, making diverse investments and ultimately saving 1370000 EUR.
She has flat located in Hoofddorp, worth 938000 EUR.

In addition to her primary residence, she owns villa in Leiden worth 2710000 EUR.

She inherited 4160000 EUR from her father, a well-known Tech Entrepreneur, in 2014, allowing her to expand her investment portfolio.
","Given the client's impressive career history and financial discipline, we are confident in her ability to achieve financial success and security.
",Netherlands,1
DKK,Randers,Denmark,4/10/60,Danish,F,married,1,,Short,Experienced,Discretionary,"['Austria', 'Denmark']",4600000,0,5629000,,,,Idun Emilie Haugaard and Gundersen have been married since 1993. They do not have any children.,"Idun graduated from Svendborg Gymnasium in 1980.
In 1985, Idun graduated from Aalborg University with a degree.
She also pursued further higher education at Roskilde University, graduating in 1988.
","Throughout her career, she saved 4600000 DKK, investing in various assets to grow her wealth.
Her remarkable portfolio comprises 3 stunning properties. Situated in prime locations across Silkeborg, Randers and Frederiksberg, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
She does not have any inheritances.","Given the client's impressive career history and financial discipline, we are confident in her ability to achieve financial success and security.
",Denmark,0
EUR,Fürth,Germany,6/28/60,German,M,married,1,Moderate,Short,Experienced,Discretionary,"['Germany', 'Belgium']",730000,0,2500000,,,,Klein Herrmann Schäfer and Kristin tied the knot in 1985. Together they have 1 kid called Maier.,"In 1978, Klein graduated from Caspar-Olevian-Gymnasium Trier with a secondary school diploma.
Klein pursued higher education at Weingarten University of Education, graduating in 1985.
","Throughout his career, he saved 730000 EUR, investing in various assets to grow his wealth.
He owns 2 exceptional properties: townhouse located in Fürth, valued at approximately 1,370,000.00 EUR, flat located in Gelsenkirchen, valued at approximately 1,130,000.00 EUR. This impressive collection showcases his flair for luxury living and investment prowess, with a notable presence in Fürth and Gelsenkirchen.
He does not have any inheritances.","The RM is very happy to have Klein as a customer and is looking forward to a long and successful cooperation.
",Germany,1
EUR,Augsburg,Germany,4/4/96,German,F,divorced,1,High,Long-Term,Inexperienced,Discretionary,"['Germany', 'Finland']",20000,1660000,0,grandmother,Real Estate Developer,2017,Hanna Diana Scholz is currently divorced. She does not have any children.,"Hanna obtained her secondary school diploma from Caspar-Olevian-Gymnasium Trier in 2016.
Hanna earned her degree from Zeppelin University in 2019.
","Throughout her career, she saved 20000 EUR, investing in various assets to grow her wealth.
Client does not have any properties.
In addition to her career success, she also received an inheritance of 1660000 EUR from her late grandmother, a renowned Real Estate Developer, in 2017.
","In summary, Hanna has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",Germany,1
EUR,Jerez de la Frontera,Spain,12/6/56,Spanish,F,married,1,Moderate,Short,Experienced,Advisory,"['Switzerland', 'Spain']",980000,0,2905000,,,,Valeria Angela Muñoz is married to Gómez. They are proud parents of 1 child: Daniela.,"In 1975, Valeria finished her secondary school education at IES Miguel Hernández Alicante.
Valeria completed her university education at University of Barcelona in 1979.
","She managed to save approximately 980000 EUR from her earnings at all companies.
She has townhouse located in Jerez de la Frontera, worth 915000 EUR.

She purchased villa in Palma de Mallorca, where she spends her holidays. It is valued at 1990000 EUR.
She does not have any inheritances.","In conclusion, we are confident in the client's financial stability and future prospects.
",Spain,0
EUR,Guadalajara,Spain,10/18/93,Spanish,F,married,1,Considerable,Long-Term,Experienced,Discretionary,"['Germany', 'Spain']",30000,4550000,2430000,grandmother,Real Estate Developer,2016,Clara Consuelo Vázquez and Álvarez have been married since 2019. They are proud parents of 1 child: Carmen.,"Clara earned her secondary school diploma from Instituto de Educación Secundaria IES Pablo Neruda Las Palmas de Gran Canaria in 2013.
Clara completed her university education at Navarra University in 2017.
","She managed to save approximately 30000 EUR from her earnings at all companies.
She has condo located in Guadalajara, worth 1150000 EUR.

She purchased house in Madrid, where she spends her holidays. It is valued at 1280000 EUR.
In 2016, she received an inheritance of 4550000 EUR from her late grandmother, who was a prominent Real Estate Developer, and has since invested it in various assets.
","In conclusion, we are confident in the client's financial stability and future prospects.
",Spain,0
DKK,Kolding,Denmark,8/13/93,Danish,F,single,1,Considerable,Medium,Experienced,,['Denmark'],370000,18260000,3330000,grandmother,Real Estate Developer,2017,Frederikke Andersen is currently single. She does not have any children.,"Frederikke earned her secondary school diploma from Rysensteen Gymnasium in 2011.
After that, she went on to study at International Business Academy (IBA) until 2016.
","During her work, she focused on financial growth, making diverse investments and ultimately saving 370000 DKK.
She owns 3 exceptional properties: townhouse located in Kolding, valued at approximately 1,240,000.00 DKK, condo located in Køge, valued at approximately 1,280,000.00 DKK, flat located in Helsingør, valued at approximately 810,000.00 DKK. This impressive collection showcases her flair for luxury living and investment prowess, with a notable presence in Kolding, Helsingør and Køge.
She inherited a significant sum of 18260000 DKK from her grandmother, a respected Real Estate Developer, in 2017, which she has wisely invested.
","In conclusion, we are confident in the client's financial stability and future prospects.
",Denmark,0
EUR,Chemnitz,Germany,12/30/71,German,F,divorced,1,Moderate,Medium,Expert,Advisory,['Germany'],480000,3100000,4350000,father,,,Henriette Katharina Herrmann is currently divorced. She has 2 kids called Charlotte and Schultz.,"Henriette received her secondary school diploma from Lessing-Gymnasium Frankfurt in 1991.
Henriette completed her university studies at Technical University of Munich in 1994.
Additionally, she went on to study at Zeppelin University until 2000.
","She managed to save approximately 480000 EUR from her earnings at all companies.
She has villa located in Chemnitz, worth 3020000 EUR.

She purchased townhouse in Augsburg, where she spends her holidays. It is valued at 1330000 EUR.

Following the passing of her father, a successful Hedge Fund Manager, she received an inheritance of 3100000 EUR in 2007, which she has used to secure her financial future.

","Based on the information provided, we are excited about the client's financial journey and look forward to supporting her in achieving her financial goals.
",Germany,0
EUR,Perugia,Italy,1/6/76,Italian,M,widowed,1,Moderate,Short,Experienced,Discretionary,"['Switzerland', 'Italy']",580000,950000,4990000,mother,Private Equity Manager,2006,Marini Conti Rizzo is currently widowed. He has 1 kid called Erika.,"In 1994, Marini graduated from Liceo Artistico Michelangelo Buonarroti Venezia with a secondary school diploma.
Marini earned his degree from John Cabot University in 1999.
","Throughout his career, he saved 580000 EUR, investing in various assets to grow his wealth.
He has villa located in Perugia, worth 2230000 EUR.

He purchased house in Palermo, where he spends his holidays. It is valued at 1300000 EUR.
Moreover, he has invested in additional property in Pisa, giving possiblity for generating additional income. The townhouse is valued at 1460000 EUR.


Following the passing of his mother, a successful Private Equity Manager, he received an inheritance of 950000 EUR in 2006, which he has used to secure his financial future.

","In summary, Marini has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",Italy,1
EUR,Essen,Germany,1/5/71,German,F,married,1,Low,Short,Experienced,Discretionary,['Germany'],1430000,260000,1210000,mother,Hedge Fund Manager,2005,Hanna Benita Becker has been happily married to Wagner since 1998. They do not have any children.,"Hanna earned her secondary school diploma from Walther-Rathenau-Schule in 1990.
Hanna attended Mannheim Business School and graduated in 1993.
Moreover she completed her extra university education at ISM Dortmund in 1997.
","She managed to save approximately 1430000 EUR from her earnings at all companies.
She owns townhouse in Essen, where she resides. It is worth 1210000 EUR.


Following the passing of her mother, a successful Hedge Fund Manager, she received an inheritance of 260000 EUR in 2005, which she has used to secure her financial future.

","In conclusion, we are confident in the client's financial stability and future prospects.
",Germany,0
EUR,Paris,France,5/15/60,French,F,single,1,Moderate,Medium,Expert,Discretionary,"['France', 'Denmark']",1170000,0,6239000,,,,Capucine Ève Nicolas is currently divorced. She has 2 kids called Renault and Boucher.,"In 1978, Capucine graduated from Lycée Ampère with a secondary school diploma.
Capucine finished her studies at Sorbonne University in 1985.
Additionally, she went on to study at HEC Paris until 1988.
","During her work, she focused on financial growth, making diverse investments and ultimately saving 1170000 EUR.
She has villa located in Paris, worth 2800000 EUR.

In addition to her primary residence, she owns flat in Rouen worth 989000 EUR.

On top of that she inherited a beautiful villa in Nice, which could be used as a weekend getaway. It is valued at 2450000 EUR.
She does not have any inheritances.","In summary, Capucine has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",France,0
CHF,Locarno,Switzerland,8/12/63,Swiss,M,married,1,Considerable,Medium,Expert,Discretionary,['Switzerland'],1720000,0,3270000,,,,Huber Roth Keller and Evelyne tied the knot in 1996. They are proud parents of 2 children: Chiara and Riedo.,"Huber completed his secondary education at Gewerblich-industrielles Berufsbildungszentrum (BIG) Bern in 1983.
Huber received his degree from Bern University of Applied Sciences in 1987.
","He managed to save approximately 1720000 CHF from his earnings at all companies.
He has townhouse located in Locarno, worth 3270000 CHF.

He does not have any inheritances.","Based on the information provided, we are excited about the client's financial journey and look forward to supporting him in achieving his financial goals.
",Switzerland,1
EUR,San Sebastián,Spain,9/20/59,Spanish,F,married,1,Moderate,Short,Experienced,Discretionary,"['Switzerland', 'Spain']",990000,0,5490000,,,,"Encarna Catalina Martínez and Díaz have been married since 1990. They are proud parents of 3 children: Cristina, Fernández and Gutiérrez.","Encarna completed her secondary education at IES Juan Carlos I Burgos in 1978.
Encarna attended IESE Business School and graduated in 1984.
","While working, she saved 990000 EUR, which she used to build a diversified investment portfolio.
She has invested in several rental properties across various locations, generating additional income. The properties are valued at 5490000 EUR.

She does not have any inheritances.","The RM knows the client very well and is a good friend of the entire family.
",Spain,0
EUR,Córdoba,Spain,8/30/55,Spanish,M,married,1,Low,Medium,Experienced,Discretionary,['Spain'],820000,0,3360000,,,,Ruiz Navarro Pérez and Antonia have been married since 1990. Their child is  named Martínez.,"Ruiz obtained his secondary school diploma from IES Salvador Espriu Barcelona in 1974.
Ruiz completed his university studies at University of Valencia in 1978.
","While working, he saved 820000 EUR, which he used to build a diversified investment portfolio.
He has invested in several rental properties across various locations, generating additional income. The properties are valued at 3360000 EUR.

He does not have any inheritances.","The RM knows the client very well and is a good friend of the entire family.
",Spain,1
EUR,Zaandam,Netherlands,11/7/75,Dutch,M,married,1,Balanced,Medium,Expert,Discretionary,"['Austria', 'Netherlands']",1160000,210000,5630000,grandmother,Corporate Lawyer,2006,Veenhoven Voorn Van der Meer is married to Charlotte. Their child is  named Floor.,"Veenhoven obtained his secondary school diploma from Het Rijnlands Lyceum Oegstgeest in 1993.
Veenhoven graduated from Gerrit Rietveld Academy in 1999, completing his higher education.
","Throughout his career, he saved 1160000 EUR, investing in various assets to grow his wealth.
His remarkable portfolio comprises 3 stunning properties. Situated in prime locations across Roosendaal, Zaandam and Doetinchem, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
He inherited a significant sum of 210000 EUR from his grandmother, a respected Corporate Lawyer, in 2006, which he has wisely invested.
","In summary, Veenhoven has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",Netherlands,0
EUR,Hoofddorp,Netherlands,9/21/98,Dutch,M,married,1,Considerable,Medium,Inexperienced,Advisory,['Netherlands'],10000,1660000,0,grandmother,Hedge Fund Manager,2015,De Jong Verhoeven Vogel and Geertje tied the knot in 2023. They do not have any children.,"De Jong graduated from Stedelijk Gymnasium Arnhem in 2007.
In 2021, De Jong graduated from Nyenrode Business Universiteit with a degree.
","He managed to save approximately 10000 EUR from his earnings at all companies.
Client does not have any properties.He inherited 1660000 EUR from his grandmother, a well-known Hedge Fund Manager, in 2015, allowing him to expand his investment portfolio.
","The RM knows the client very well and is a good friend of the entire family.
",Netherlands,0
CHF,Lausanne,Switzerland,9/17/94,Swiss,F,married,1,Considerable,Long-Term,Expert,Discretionary,"['Switzerland', 'Spain']",70000,210000,5490000,grandfather,Venture Capitalist,2015,Andrea Emma Schmid and Frey have been married since 2020. They do not have any children.,"Andrea finished secondary school at Gymnasium am See Kreuzlingen in 2014.
Andrea completed her university education at Franklin University Switzerland in 2017.
","While working, she saved 70000 CHF, which she used to build a diversified investment portfolio.
She owns 2 exceptional properties: house located in Lausanne, valued at approximately 2,750,000.00 CHF, condo located in Bellinzona, valued at approximately 2,740,000.00 CHF. This impressive collection showcases her flair for luxury living and investment prowess, with a notable presence in Bellinzona and Lausanne.

In addition to her career success, she also received an inheritance of 210000 CHF from her late grandfather, a renowned Venture Capitalist, in 2015.
","In summary, Andrea has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",Switzerland,1
EUR,Leuven,Belgium,1/30/70,Belgian,M,widowed,1,Low,Medium,Experienced,Discretionary,"['Austria', 'Belgium']",520000,4070000,4980000,mother,Venture Capitalist,2005,"Lambrechts Dupont Joris is currently widowed. His children are named Alexandra, Chloé and Louna.","Lambrechts graduated from Onze-Lieve-Vrouwe-Wavercollege in 1987.
He then attended University of Namur, which he graduated in 1992.
","While working, he saved 520000 EUR, which he used to build a diversified investment portfolio.
He owns house in Leuven, where he resides. It is worth 1200000 EUR.

He purchased villa in Hasselt, where he spends his holidays. It is valued at 2510000 EUR.
Moreover, he has invested in additional property in Namur, giving possiblity for generating additional income. The townhouse is valued at 1270000 EUR.

In 2005, he received an inheritance of 4070000 EUR from his late mother, who was a prominent Venture Capitalist, and has since invested it in various assets.
","The RM knows the client very well and is a good friend of the entire family.
",Belgium,1
EUR,Wavre,Belgium,5/12/80,Belgian,F,married,1,Moderate,Long-Term,Expert,Advisory,['Belgium'],440000,4880000,3140000,grandmother,Stock Trader,2006,Romane Clémence Mertens is married to Van den Berghe. They do not have any children.,"Romane received her secondary school diploma from Vrij Technisch Instituut Gent in 1998.
Romane attended Ghent University and graduated in 2004.
","Throughout her career, she saved 440000 EUR, investing in various assets to grow her wealth.
She has villa located in Wavre, worth 2070000 EUR.

In addition to her primary residence, she owns condo in Mol worth 1070000 EUR.

She inherited 4880000 EUR from her grandmother, a well-known Stock Trader, in 2006, allowing her to expand her investment portfolio.
","Based on the information provided, we are excited about the client's financial journey and look forward to supporting her in achieving her financial goals.
",Belgium,1
EUR,Zwettl,Austria,8/26/66,Finnish,M,divorced,1,Low,Medium,Expert,Advisory,"['Austria', 'Finland']",650000,4750000,3160000,grandmother,Neurosurgeon,2014,Rissanen Seppälä Tolvanen is currently divorced. His child is named Kaarin.,"Rissanen completed his secondary education at Heinolan lukio in 1986.
Rissanen completed his university studies at Hanken School of Economics in 1990.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 650000 EUR.
He has house located in Zwettl, worth 1041000 EUR.

He purchased villa in Kokkola, where he spends his holidays. It is valued at 2119000 EUR.

In addition to his career success, he also received an inheritance of 4750000 EUR from his late grandmother, a renowned Neurosurgeon, in 2014.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome him as a new client.
",Finland,1
DKK,Randers,Denmark,10/7/57,Danish,M,married,1,Moderate,Medium,Experienced,Advisory,['Denmark'],11960000,0,5071000,,,,"Krog Haugaard Oddershede is married to Eva. Krog and Eva have 2 children, named Christensen and Haugaard.","Krog completed his secondary education at Odense Katedralskole in 1977.
Krog earned his degree from University College Capital in 1980.
","Throughout his career, he saved 11960000 DKK, investing in various assets to grow his wealth.
He has invested in several rental properties across various locations, generating additional income. The properties are valued at 5071000 DKK.

He does not have any inheritances.","The RM knows the client very well and is a good friend of the entire family.
",Denmark,1
EUR,Jyväskylä,Finland,2/28/60,Finnish,M,married,1,Considerable,Medium,Expert,Discretionary,['Finland'],1440000,0,5190000,,,,"Koskinen Heikkinen Laine and Jenna have been married since 1995. Koskinen and Jenna have 2 children, named Seppälä and Essi.","Koskinen graduated from Riihimäen lukio in 1979.
After that, he went on to study at Åbo Akademi University School of Economics until 1983.
","During his work, he focused on financial growth, making diverse investments and ultimately saving 1440000 EUR.
He has condo located in Jyväskylä, worth 980000 EUR.

In addition to his primary residence, he owns house in Kerava worth 1599000 EUR.

Moreover, he has invested in additional property in Hyvinkää, giving possiblity for generating additional income. The villa is valued at 2611000 EUR.

He does not have any inheritances.","Given the client's impressive career history and financial discipline, we are confident in his ability to achieve financial success and security.
",Finland,1
EUR,Hamburg,Germany,5/11/81,German,M,married,1,Considerable,Medium,Experienced,Advisory,['Germany'],240000,2110000,4480000,grandfather,Private Equity Manager,2014,"Herrmann Wagner Müller is married to Benita. Herrmann and Benita have 2 children, named Jessica and Meier.","Herrmann received his secondary school diploma from Goethe-Gymnasium Berlin in 2001.
Herrmann earned his degree from SRH University Heidelberg in 2005.
","Throughout his career, he saved 240000 EUR, investing in various assets to grow his wealth.
He has house located in Hamburg, worth 2120000 EUR.

He purchased condo in Hanover, where he spends his holidays. It is valued at 1140000 EUR.
On top of that he inherited a beautiful condo in Frankfurt am Main, which could be used as a weekend getaway. It is valued at 1220000 EUR.
In 2014, he received an inheritance of 2110000 EUR from his late grandfather, who was a prominent Private Equity Manager, and has since invested it in various assets.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome him as a new client.
",Germany,1
EUR,Genoa,Italy,2/24/66,Swiss,F,married,1,Low,Medium,Experienced,Discretionary,"['Switzerland', 'Italy']",1930000,320000,6520000,grandmother,Hedge Fund Manager,2007,"Emma Julia Jost and Riedo have been married since 1990. Emma and Riedo have 2 children, named Schmid and Gisèle.","Emma completed her secondary education at Lycée cantonal de Porrentruy Jura in 1985.
She then attended HSR Hochschule für Technik Rapperswil, which she graduated in 1989.
","During her work, she focused on financial growth, making diverse investments and ultimately saving 1930000 EUR.
She has flat located in Genoa, worth 730000 EUR.

In addition to her primary residence, she owns house in Geneva worth 2610000 EUR.

Moreover, she has invested in additional property in Locarno, giving possiblity for generating additional income. The townhouse is valued at 3180000 EUR.

She inherited a significant sum of 320000 EUR from her grandmother, a respected Hedge Fund Manager, in 2007, which she has wisely invested.
","The RM is very happy to have Emma as a customer and is looking forward to a long and successful cooperation.
",Switzerland,1
EUR,Murcia,Spain,6/21/79,Spanish,M,married,1,Moderate,Medium,Expert,Advisory,['Spain'],230000,3770000,2960000,mother,Neurosurgeon,2007,García Fernández López is married to Emma. They do not have any children.,"García completed his secondary education at IES Francisco de Quevedo Valladolid in 1997.
García attended Navarra University and graduated in 2002.
","He managed to save approximately 230000 EUR from his earnings at all companies.
He owns flat in Murcia, where he resides. It is worth 870000 EUR.

In addition to his primary residence, he owns villa in San Sebastián worth 2090000 EUR.


In addition to his career success, he also received an inheritance of 3770000 EUR from his late mother, a renowned Neurosurgeon, in 2007.
","In summary, García has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",Spain,1
